,fips,cases,deaths,popdense,population,ageab55,ageab65,AR,AS,AT,AU,pct_highschool_or_less,cases rate 10k,deaths rate 10k,deaths cases 10k,pctpov,pctmale,pctwhite,pctblack,pctindian,pctasian,pcthispanic,type,ozone,pm25,no2,so2
18,17163,20854,353.0,153.24779,261059,29.769515703346748,0.158052394286349,8.94837760925293,28.14213752746582,34.89799880981445,28.011484146118164,37.09051513671875,798.8232545133475,13.521847551702871,169.2720820945622,16.400000000000002,48.24158523552147,61.480737,30.285108,0.2554978,1.4720811,4.1753013,0,0.04895,9.944755428571428,19.776960666666664,3.0337521999999995
19,01073,52339,697.0,229.04567,659300,28.997118155619606,0.1585727286516003,9.935452461242676,26.378620147705078,30.30597496032715,33.37995147705078,36.314072608947754,793.85712118914,10.571818595480053,133.17029366246967,17.0,47.260882754436516,49.699833999999996,43.126044,0.20673443000000002,1.7561050000000002,3.9808888000000002,0,0.0470696969696969,9.525053711111108,23.874042,5.7470701538461535
20,08001,40344,529.0,169.45944,511868,21.31740995725461,0.10468909953347351,16.218717575073242,28.612974166870117,30.900371551513672,24.26793670654297,44.83169174194336,788.1719505810092,10.334695663725805,131.12234780884393,11.5,50.49544023068447,49.603608,3.1885173000000004,0.59058196,4.062571,40.448904,0,0.0525998571428571,8.558138333333332,34.488622199999995,2.790812
21,32031,35756,489.0,28.536638,465735,29.548348309661066,0.1635286160584881,11.361948013305664,23.532257080078125,34.270782470703125,30.835012435913086,34.89420509338379,767.7327235445049,10.499532996231762,136.7602640116344,12.2,50.36340408172029,62.63411599999999,2.2729663,1.3408912,5.4374270000000005,24.835797,0,0.0487628085106383,5.871370199999999,26.103717800000005,0.8810472
22,06037,770915,10345.0,961.45313,10105518,25.604308458012763,0.13615897769911461,20.866573333740234,20.610870361328125,25.981346130371094,32.54121017456055,41.47744369506836,762.8653969049384,10.236981419458163,134.1911883930135,16.0,49.29875935107928,26.117989,7.9644904,0.18749163,14.749506,48.639634,0,0.0541946923076923,10.996506957746478,27.843578732394363,1.6770354666666665
23,32003,170032,2379.0,109.18422,2231647,26.565581384511077,0.1472867348644297,13.915782928466797,28.485761642456055,33.13953399658203,24.45892333984375,42.40154457092285,761.9126143157946,10.660288119043917,139.91483955961232,14.099999999999998,49.86474115305871,42.199146999999996,11.667436,0.45715113999999996,9.853126099999999,31.446101999999996,0,0.0523993809523809,7.639691937500002,31.90735970967741,1.8433764
24,17031,393652,8285.0,2116.7585,5180493,26.968784631115224,0.14635035700270219,12.874430656433105,23.12009620666504,25.1905460357666,38.81492614746094,35.994526863098145,759.8736259271077,15.992686410347432,210.4650808328168,15.1,48.56836984433721,42.082366,23.041089,0.11525931,7.7020273,25.538439,0,0.0471536199999999,9.932021684210527,28.523804818181823,1.9973329333333332
25,47009,9976,98.0,90.752686,131349,34.66337771890155,0.2023235806896131,10.87692928314209,34.6093864440918,30.33819007873535,24.175493240356445,45.48631572723389,759.5033079810277,7.461038911601916,98.23576583801123,11.700000000000001,48.50208223892074,90.842718,2.9166572000000004,0.28397627,0.8846660100000001,3.4579630999999997,0,0.0467316,8.109059,1.4458706,0.3957666000000001
26,40143,48124,399.0,438.93433,648360,26.468628539700163,0.1439292985378493,10.592984199523926,25.35909652709961,32.232017517089844,31.815902709960938,35.952080726623535,742.2419643407983,6.1539885248935775,82.91081373119442,15.1,48.79526806095379,61.630421999999996,10.366617,5.9738416,3.3646431,13.036275999999999,0,0.0470501176470588,7.795925200000001,17.3827948,1.44507095
27,18097,70801,1206.0,929.76648,954670,24.61300763614652,0.1260728838237297,13.949029922485352,27.97835922241211,27.19435691833496,30.878253936767578,41.92738914489746,741.6279971089485,12.632637455874805,170.33657716698917,19.0,48.19393088711282,54.800612,28.165333999999998,0.18613762,3.5903506000000003,10.643888,0,0.0461861739130434,10.111478675000004,22.584868666666665,1.5658757000000003
28,06065,180553,1985.0,131.30302,2450758,25.8790953655971,0.1440868498644093,17.95894432067871,26.854948043823242,32.88058090209961,22.305526733398438,44.81389236450195,736.7230873060498,8.099534919400446,109.94001761255697,14.7,49.83662197573159,34.709138,6.1750691,0.47617922999999995,6.474895,49.553853,0,0.0570402394366197,10.469155730769227,18.32522452777777,0.6412511999999999
29,48139,13216,174.0,74.044632,179436,25.07467843687999,0.12807351924920302,13.807422637939453,27.700761795043945,34.15520477294922,24.336612701416016,41.5081844329834,736.5300162732117,9.697050759045007,131.65859564164649,9.3,49.32845136984775,59.88263499999999,10.815555999999999,0.39902804,0.72337771,26.644039000000003,0,0.0453982999999999,8.3528168,10.0902622,0.8158610000000001
30,48113,193318,2007.0,1167.8716,2637772,21.641900816294967,0.1073458964611043,20.65736961364746,22.614168167114258,25.25168228149414,31.47677993774414,43.27153778076172,732.8836609077662,7.608694003879031,103.8185787148636,16.6,49.35180144455245,28.642201,22.585575,0.27693827000000004,6.550642099999999,40.502402,0,0.0473207142857142,8.8182592,17.573069523809522,0.8032422
31,40109,57993,441.0,431.72586,792582,25.511682072012732,0.136664723650045,12.605804443359375,25.669265747070312,29.736614227294922,31.988317489624023,38.27507019042969,731.6971619340333,5.564093052832388,76.04366044177745,16.7,48.97095821000225,55.65203399999999,15.258989,3.0579802,3.5489070999999996,17.790210000000002,0,0.0493573571428571,7.682705928571429,21.43537472727273,0.3956162
32,04013,322449,5125.0,185.12689,4410824,26.735344688430114,0.15173695436498952,12.274147987365723,22.39362335205078,32.6341552734375,32.69807052612305,34.667771339416504,731.0402772815239,11.619144178049272,158.9398633582365,14.7,49.46282145921034,54.902052999999995,5.4661442,1.6657658,4.307245099999999,31.278440000000003,0,0.0543557748917748,7.750165749999999,33.68200546875,1.8809935333333332
33,45045,37327,502.0,252.89552,514213,28.391153082477487,0.1577867537382368,11.982390403747559,23.75409507751465,29.191587448120117,35.07192611694336,35.73648548126221,725.9054127375232,9.76249141892562,134.48710049026175,12.4,48.49430099978025,68.26237400000001,17.915338,0.20575132000000002,2.5722804,9.2556976,0,0.0494483333333333,8.048664347826087,18.886319800000003,0.4483134
34,47157,67198,903.0,473.16977,935764,26.049837352152892,0.1358237760802937,11.588619232177734,27.521665573120117,29.2784366607666,31.611276626586914,39.11028480529785,718.1084119500215,9.649868984060083,134.3789993749814,20.599999999999998,47.50364408119996,35.58408,53.648143999999995,0.15730462,2.6638126,6.5350883,0,0.0476414666666666,8.088166055555554,20.8917944,1.1649812
35,21067,23169,160.0,440.74728,323780,24.87460621409598,0.1334671690654147,8.77447509765625,19.60013771057129,27.97542381286621,43.64996337890625,28.37461280822754,715.5784792142814,4.941627030699858,69.05779274029955,17.8,49.07406263512261,70.938599,14.764655,0.16430909999999999,4.205324500000001,7.421088200000001,0,0.0479057142857142,8.088156399999999,14.892590000000002,0.5636304
36,12011,137610,1847.0,626.20142,1951260,30.03361930239948,0.1662069637055032,11.046941757202148,27.345550537109375,29.19741439819336,32.41009521484375,38.39249229431152,705.236616340211,9.465678587169316,134.21989680982486,13.5,48.71559915131761,35.602996,28.345224,0.19382348000000002,3.7364575999999996,30.428186,0,0.03856385,6.36094085,20.5683385,0.51130725
37,29189,69480,1391.0,758.57806,996945,32.23959195341768,0.1807622286083986,6.504749298095703,21.197980880737305,28.64984130859375,43.64742660522461,27.702730178833008,696.9291184568858,13.952625270200462,200.20149683362118,9.700000000000001,47.43360967756496,65.607131,24.660337,0.1667093,4.5191057,2.9613469,0,0.0485048888888888,8.936371,21.729493400000003,2.7196955
38,47163,10862,178.0,147.25761,157668,36.37770505112007,0.218998148007205,12.842641830444336,34.699241638183594,28.846590042114258,23.611522674560547,47.54188346862793,688.9159499708247,11.289545120125833,163.87405634321487,16.6,48.63827790039831,93.296039,2.1963874000000003,0.28984956,0.7648984,1.9376157,0,0.0497899999999999,7.418209,20.372062,18.051720692307693
39,22019,13933,285.0,73.684471,203112,27.641399818819178,0.1479823939501359,13.167203903198242,34.07179641723633,30.49913787841797,22.261859893798828,47.23900032043457,685.9762101697585,14.03166725747371,204.55034809445203,16.900000000000002,48.89568316987672,67.171311,25.372207000000003,0.48200008,1.3155303999999999,3.7742723,0,0.0413957999999999,7.485615800000001,14.634528714285713,2.3166776
